COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
HKC7112;2024-07-09;17:24:07;Queda;Ferido;Pernanbuco;Planalto Do Pici;Cruzamento;Não informado;;-3.7541511;-38.575555;Cruzamento;;Não informado;;Não informado;;SAMU;;2407090673;;;;
XLD5093;2024-07-09;18:44:47;Colisão;Ferido;Avenida Leste Oeste;;Não informado;Cristo Redentor;Não informado;-3.7095634878922668;-38.564476043018495;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407090752;;;;
MFR6301;2024-07-10;05:17:49;Queda;Ferido;Verde 44;Catolé;Cruzamento;Conjunto Palmeiras;;-3.8497726;-38.5210821;Cruzamento;;Não informado;;Não informado;;SAMU;;2407100059;;;;
MCG6288;2024-07-10;15:00:00;Colisão Transversal;Não informado;Avenida Presidente Costa e Silva;;2100;JANGURUSSU;Municipal;-3.818883623727856;-38.56319025242072;Meio de quadra;Pare;Residencial;Não informado;Bom;Seca;AMCBO;975610;;;;;
WUU6241;2024-07-11;18:06:05;Queda;Ferido;Rua Chico França;;870;Messejana;;-3.8347934;-38.4984063;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407110695;;;;
NNE9015;2024-07-12;18:27:01;Colisão;Ferido;Avenida Silas Munguba;;1199 A;Itaperi;;-3.7823883;-38.55531089999999;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407120789;;;;
GUZ1487;2024-07-12;20:00:41;Queda;Ferido;Avenida Jose Saboia;;500;Cais Do Porto;;-3.7160224;-38.4691248;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407120930;;;;
HHI2403;2024-07-13;07:35:00;Colisão;Ferido;Washington Soares Esq.;Oliveira Paiva;Cruzamento;CIDADE DOS FUNCIONRAIOS;Estadual;-3.7762191;-38.481665;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;HHI2403;2407130239;587015;;;
SEL0607;2024-07-13;19:45:45;Colisão;Ferido;Manuel Moura;;433;Barra Do Ceara;;-3.7148951;-38.5850047;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407130845;;;;
PEG3398;2024-07-14;21:20:45;Queda;Ferido;Ismael Pordeus;;651;Vicente Pinzon;;-3.722540299999999;-38.4683885;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407140985;;;;
LBL6846;2024-07-16;12:57:30;Colisão;Ferido;Alberto Nepomuceno;Rua Costa E Silva;Cruzamento;Centro;;-3.722481;-38.5239331;Cruzamento;;Não informado;;Não informado;;SAMU;;2407160387;;;;
PAQ0251;2024-07-16;17:23:19;Atropelamento;Ferido;Avenida Presidente Costa e Silva;;Não informado;Prefeito Jose Walter;Não informado;-3.8238453831128023;-38.549151693121296;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407160625;;;;
