COD_ACIDENTE;VEÍCULO;TIPO VEÍCULO;MARCA;ANO FABRICAÇÃO;COR;ESPÉCIE;CATEGORIA;ALUGUEL;LEGALIZADO;DANIFICADO;MANOBRA;VIA DE ACESSO
JDP6504;.1;Bicicleta;;;;;;;Não informado;;;
IWU2070;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
VBL2937;.1;Bicicleta;MONARK;;VERMELHA;Passageiro;Particular;Não Se Aplica;Não informado;Danificado;CRUZANDO O FLUXO;Rua Álef de Souza Cavalcante
VBL2937;.2;Motocicleta;HONDA BROS ;2016;BRANCA;Passageiro;Particular;Não Se Aplica;Não informado;Não informado;CIRCULANDO;AV CASTELO DE CASTRO
MCE1166;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
ERF1879;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
BWZ3510;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
IMZ2138;.1;Bicicleta;;;;;;;Não informado;;;
XOQ4086;.1;Bicicleta;;;;;;;Não informado;;;
IES5345;.1;Bicicleta;;;;;;;Não informado;;;
WSX2357;.1;Bicicleta;;;;;;;Não informado;;;
PYU8638;.1;Bicicleta;;;;;;;Não informado;;;
PYU8638;.2;Automóvel;;;;;;;Não informado;;;
NZW2089;.1;Microônibus;M.BENZ/M.POLO;2017;BRANCO;Passageiro;Aluguel;Ônibus;Não informado;Danificado;CIRCULANDO;Avenida Monsenhor Tabosa
NZW2089;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Danificado;CIRCULANDO;Avenida Monsenhor Tabosa
JIP5472;.1;Motocicleta;HONDA Cg 125 fan ks;;PRETA;Passageiro;Particular;;Não informado;;Circulando;
JIP5472;.2;Bicicleta; ;;BRANCA;Não informado;Não informado;;Não informado;;Entrando na via;
SRU7746;.1;Bicicleta;;;;;;;Não informado;;;
SRU7746;.2;Automóvel;;;;;;;Não informado;;;
BGC2335;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
LPN3060;.1;Bicicleta;;;;;;;Não informado;;;
HQS8865;.1;Bicicleta;;;;;;;Não informado;;;
RMH3964;.1;Bicicleta;;;;;;;Não informado;;;
EVS0068;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
