COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
NAQ3591;1;Godofredo Marciel;;;;;;;;;;;;
JKE3824;1;Virgilio Nogueira;;;;;;;;;;;;
MQB6506;1;Coronel De Carvalho;;;;;;;;;;;;
RZQ2891;1;General Osorio De Paiva;;;;;;;;;;;;
SIB6175;1;Alberto Craveiro [];Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RRX6292;1;Rua General Onofre;;;;;;;;;;;;
AQX0506;1;Guarani;;;;;;;;;;;;
AQX0506;2;Rua Capitao Theogenes Gondim;;;;;;;;;;;;
EXX2225;1;Rua Coronel De Queiroz;;;;;;;;;;;;
EXX2225;2;Bernardo Manuel;;;;;;;;;;;;
XUX6869;1;General Osorio De Paiva;;;;;;;;;;;;
DGB4171;1;Avenida Costa Mendes;;;;;;;;;;;;
USI5012;1;Engenheiro Santana Junior;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
QNJ9649;1;Odilon Guimaraes;;;;;;;;;;;;
RBZ6378;1;Jose Dantas Pereira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AOJ6973;1;Oaorio De Paiva;;;;;;;;;;;;
HTF8063;1;Alberto Monteiro  - Caça E Pesca;;;;;;;;;;;;
NMM5644;1;Avenida Perimetral;;;;;;;;;;;;
NMM5644;2;Avenida I;;;;;;;;;;;;
MAR2749;1;Pereira Valente Esq. Av. Desembargador Moreira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
OOM1549;1;Sargento Pinheiro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AEN9971;1;Whashington Soares;;;;;;;;;;;;
INY7012;1;Washington Soares;;;;;;;;;;;;
HIV2238;1;Rua Do Coqueiro;;;;;;;;;;;;
KCT2884;1;Rua Tulipa;;;;;;;;;;;;
HXO6416;1;Maximiano Da Fonseca;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IDV1424;1;Manuel Dias Branco;;;;;;;;;;;;
HPY3969;1;"Avenida ""C""  -  Bairro Aracapé";Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XEE6723;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
KXY7242;1;Jornalista Tomas Coelho;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UUG3939;1;Rua Egídio De Oliveira;Condição ruim;Não há;Reto;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Buracos;Não informado;Pintura
UQG7326;1;Rua Placido De Castro;;;;;;;;;;;;
QSE3637;1;Conego De Castro;;;;;;;;;;;;
KXQ0857;1;Beira  Mar;;;;;;;;;;;;
LGM4660;1;Joao Brigido;;;;;;;;;;;;
LGM4660;2;Rua Dona Leopoldina;;;;;;;;;;;;
HYP7520;1;Timbauba;;;;;;;;;;;;
AYA4468;1;Imperador;;;;;;;;;;;;
NUA9954;1;Rua Silvinha Teles;;;;;;;;;;;;
NUA9954;2;& Rua Canguru;;;;;;;;;;;;
LXZ3274;1;Rua P;;;;;;;;;;;;
BSF4021;1;Rua Paraiba;;;;;;;;;;;;
ODV3369;1;Rua Antonio Arruda;;;;;;;;;;;;
GNO4235;1;BR 116 KM ?;;;;;;;;;;;;
LVT0341;1;Rua Doutor Joaquim Frota;;;;;;;;;;;;
AGZ5709;1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HBR0696;1;Beira Mar;;;;;;;;;;;;
HBR0696;2;Barão De Studart;;;;;;;;;;;;
DIB6623;1;Castelo De Castro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WVI1663;1;Rua Eduardo Perdigão;Condição ruim;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
WVI1663;2;Rua Germano Franck;Condição ruim;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
ZTA6877;1;Rua Germano Franck;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZTA6877;2;RUA EDUARDO PERDIGAO;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NXN5410;1;Carlos Vasconcelos;;;;;;;;;;;;
YFK6513;1;Domingos Olimpio;;;;;;;;;;;;
TVO7551;1;Sousa Carvalho;;;;;;;;;;;;
TVO7551;2;Rua Das Acacias;;;;;;;;;;;;
MBB2312;1;Avenida Alberto Craveiro;;;;;;;;;;;;
PLZ0205;1;Avenida Filomeno Gomes;;;;;;;;;;;;
HUM8410;1;Silvia Pault;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AZR3037;1;Padre Pedro De Alencar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
EHY0604;1;Edilson Barros De Oliveira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HHI1203;1;Conego De Castroa;;;;;;;;;;;;
PDW1845;1;Rua Tres De Maio;;;;;;;;;;;;
NNP1448;1;Avenida Almirante Henrique Sabóia;Bom estado;Bom estado;Reto;Plano;Não informado;Não informado;Dupla;Asfalto;Não informado;Boa;Não informado;Pintura
NNP1448;2;Rua Doutor José Augusto Ribeiro;Bom estado;Bom estado;Interseção;Rampa ascendente;Não informado;Não informado;Dupla;Asfalto;Não informado;Boa;Não informado;Não há
YHM2227;1;Via Expressa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
OPM8675;1;Avenida Almirante Henrique Saboia - Augusto Ribeiro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
PBV0237;1;Major Assis;;;;;;;;;;;;
DEQ9909;1;Avenida Heráclito Graça;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Mais de três;Boa;Boa;Canteiro elevado
DEQ9909;2;RUA DNA LEOPOLDINA;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Não há
SGY7148;1;Taquari;;;;;;;;;;;;
YQC5909;1;Beira Mar - No Aterrinho;;;;;;;;;;;;
CDE1057;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
FVU7284;1;Franco  Rocha;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RQU3248;1;Rua Capitao Vasconcelos;;;;;;;;;;;;
LDQ0559;1;24 De Maio;;;;;;;;;;;;
ICX2453;1;BR 116 KM 4;;;;;;;;;;;;
KCV9274;1;Rua Juraci Magalhaes;;;;;;;;;;;;
YMH5535;1;Bragança;;;;;;;;;;;;
ISL9809;1;Rua Professor Miramar Da Ponte;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
KYH7210;1;Avenida Pasteur;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AQX8830;1;Barao De Sudart;;;;;;;;;;;;
PAI0749;1;Avenida Ministro Albuquerque Lima;;;;;;;;;;;;
NVS2354;1;Rua Professor Manoel Lourenço;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
VXD8139;1;Presidente Castelo Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ERJ0040;1;Osorio De Paiva;;;;;;;;;;;;
VCE4381;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UXW4310;1;Beira Mar;;;;;;;;;;;;
TSN2168;1;BR 116 KM 13;;;;;;;;;;;;
TWP7383;1;Rua Tenente Moacir Matos;;;;;;;;;;;;
EYD1095;1;Osorio De Paiva;;;;;;;;;;;;
DTX6906;1;Presidente Castelo Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NPF2403;1;Rua Professor Murilo Silveira;;;;;;;;;;;;
RAJ9597;1;Rua Maria Julia -;;;;;;;;;;;;
BMA7251;1;Rua Catolé;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WBC0501;1;Santos Dumont;;;;;;;;;;;;
WBC0501;2;Avenida Desembargador Moreira;;;;;;;;;;;;
LBM4561;1;Porto Alegre;;;;;;;;;;;;
AAE2677;1;Beira Mar;;;;;;;;;;;;
AAE2677;2;Barão De Studart;;;;;;;;;;;;
HQM4793;1;São Lazaro;;;;;;;;;;;;
HQM4793;2;Lagoa Do Mondubim;;;;;;;;;;;;
PEN7946;1;Rua Valdetario Mota;;;;;;;;;;;;
OZI0598;1;Avenida Washington Soares;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
FUV4484;1;Avenida Desembargador Gonzaga;;;;;;;;;;;;
MUN6201;1;Jornalista Tomaz Coelho;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
INJ6557;1;Castelo De Castro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
KZD5653;1;Darcy Vargas;;;;;;;;;;;;
TKW6355;1;Sargento Hermini Esquina;;;;;;;;;;;;
TKW6355;2;Olavo Bilac;;;;;;;;;;;;
OMC6353;1;Presidente Castelo Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
STQ3973;1;Avenida Presidente Costa E Silva;;;;;;;;;;;;
RKU2806;1;Manoel Mavignier;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UVC3511;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CUB6166;1;Avenida Lineu Machado;;;;;;;;;;;;
WQD2713;1;Rua Antonio Botelho;;;;;;;;;;;;
SOF9931;1;Rua Padre Mororo -;;;;;;;;;;;;
JHP7774;1;Tristao Gonçalves;;;;;;;;;;;;
CXB1843;1;Raimundo Matias;;;;;;;;;;;;
FFU8601;1;Maria Gomes De Sa;;;;;;;;;;;;
HWJ8729;1;Avenida C;;;;;;;;;;;;
HKC7112;1;Pernanbuco;;;;;;;;;;;;
HKC7112;2;Planalto Do Pici;;;;;;;;;;;;
XLD5093;1;Presidente Castelo Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
MFR6301;1;Verde 44;;;;;;;;;;;;
MFR6301;2;Catolé;;;;;;;;;;;;
MCG6288;1;Avenida Presidente Costa e Silva;Condição ruim;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Não informado;Não informado;Não informado
WUU6241;1;Rua Chico França;;;;;;;;;;;;
NNE9015;1;Avenida Silas Munguba;;;;;;;;;;;;
GUZ1487;1;Avenida Jose Saboia;;;;;;;;;;;;
HHI2403;1;Washington Soares ;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HHI2403;2;Oliveira Paiva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SEL0607;1;Manuel Moura;;;;;;;;;;;;
PEG3398;1;Ismael Pordeus;;;;;;;;;;;;
LBL6846;1;Alberto Nepomuceno;;;;;;;;;;;;
LBL6846;2;Rua Costa E Silva;;;;;;;;;;;;
PAQ0251;1;Presidente Costa E Silva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZGE9852;1;Presidente Costa E Silva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JBZ4219;1;Joao Brigido;;;;;;;;;;;;
EVE9789;1;Rua Soares Bulcao;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CAP2193;1;G;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
YJE7943;1;Jaguaretama;;;;;;;;;;;;
SLR8692;1;Ataulfo Alves;;;;;;;;;;;;
OOQ1298;1;Vicente Paraibano;;;;;;;;;;;;
TVA1809;1;Jose Dantas Pereira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZSF2191;1;Quatro [ Jardim Castelao ];;;;;;;;;;;;
GJC7077;1;Zuca Accioly;;;;;;;;;;;;
YPW6304;1;Barao De Studart 1864;;;;;;;;;;;;
YPW6304;2;Barbara De Alencar;;;;;;;;;;;;
FEU4924;1;Washignton Soares Esq;;;;;;;;;;;;
FEU4924;2;Rua Albert Sabin;;;;;;;;;;;;
RHV5988;1;Vitoria  ( Mesma Av. Perimetral );;;;;;;;;;;;
NES2721;1;Alberto Magno;;;;;;;;;;;;
NES2721;2;Alvaro Fernandes;;;;;;;;;;;;
FEP9843;1;F;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
MZD3669;1;Rua Joao Ribeiro;;;;;;;;;;;;
TWW4718;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
DSI8399;1;Coronel Joao De Oliveira;;;;;;;;;;;;
JXJ2753;1;Rua Desembargador Praxedes;;;;;;;;;;;;
HKK1927;1;Osorio De Paiva;;;;;;;;;;;;
ABZ7679;1;Coronel Fabriciano;;;;;;;;;;;;
ABZ7679;2;Esquina;;;;;;;;;;;;
ABZ7679;3;Aires Da Cunha;;;;;;;;;;;;
LYJ2860;1;Independencia;;;;;;;;;;;;
LYJ2860;2;Emilio Gonçalves;;;;;;;;;;;;
ZAD8083;1;Jose Cavalcante Sobrinho - Cond Forte Iracema;;;;;;;;;;;;
QOK3189;1;Professor Manoel Lourenço;;;;;;;;;;;;
UHJ5641;1;Dos Praçinhas;;;;;;;;;;;;
SSO0087;1;Rua Padre Anchieta;;;;;;;;;;;;
UNZ5294;1;Julio Silva;;;;;;;;;;;;
UGQ8339;1;Coronel Matos Dourado;;;;;;;;;;;;
ZVT6795;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
QXH0248;1;Rua Professor Heribaldo Costa -;;;;;;;;;;;;
ZCJ2704;1;Rua Alberto Magno -;;;;;;;;;;;;
JOP1780;1;Avenida Maestro Lisboa;;;;;;;;;;;;
IPB1445;1;Benjamin Brasil;;;;;;;;;;;;
GMG1553;1;Villas Lobo > Embaixo Do Vlt;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
LSU2970;1;Maestro Lisboa;;;;;;;;;;;;
PUR6233;1;Beira Mar;;;;;;;;;;;;
PUR6233;2;Rui Barbosa;;;;;;;;;;;;
TOA4802;1;Menor Jeronimo;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZXF7874;1;Presidente Costa E Silva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JKJ0210;1;BR 116 KM 10;;;;;;;;;;;;
IJG2468;1;Av. Bernardo Manuel;Condição ruim;Bom estado;Reto;Rampa descendente;Não informado;Não informado;Dupla;Asfalto;Não informado;Boa;Não informado;Canteiro elevado
BOA9920;1;Pernambuco;;;;;;;;;;;;
YYP5575;1;Lagoa Da Sapiranga;;;;;;;;;;;;
KWE4170;1;Jose Bastos;;;;;;;;;;;;
NQG8674;1;Rua Jose Dantas Pereira;;;;;;;;;;;;
HZB5700;1;Avenida Aguanambi;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WDI7543;1;Maronildo De Queiroz;;;;;;;;;;;;
GGF1609;1;CE 010 (Px A Estrada Do Fio;;;;;;;;;;;;
QVW7408;1;Washington Soares;;;;;;;;;;;;
QVW7408;2;Nenen Arruda;;;;;;;;;;;;
IBW0271;1;Das Cerejeiras;;;;;;;;;;;;
IJY0973;1;Pedro Sampaio;;;;;;;;;;;;
ORX2186;1;Mario Mamede;;;;;;;;;;;;
NTZ1916;1;Manoel Mavignier;;;;;;;;;;;;
HVV5120;1;Minas Gerais;;;;;;;;;;;;
HUW4255;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
QRS8152;1;CE 010;;;;;;;;;;;;
VZT0078;1;Rua Valdeci Leite;;;;;;;;;;;;
IOQ8717;1;Avenida Pessoa Anta;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SFW3065;1;Rua Umarizeiras;;;;;;;;;;;;
JNZ5273;1;Contorno;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NQR1051;1;Rua Marechal Bittencourt;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JLM5320;1;Cidade Ecologica;;;;;;;;;;;;
IHG0084;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
MQP6214;1;Rua Visconde De Ico;;;;;;;;;;;;
SND3870;1;Rua Germano Franck;Não há;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Três;Boa;Boa;Não há
SND3870;2;RUA CON LIMA SUCUPIRA;Não informado;Não informado;Reto;Plano;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Não há
UGX4221;1;Rua Olegário Memória;Não há;Não há;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
HQY9741;1;Presidente Castelo Branco;;;;;;;;;;;;
HQY9741;2;Rua Vila Velha;;;;;;;;;;;;
THJ6078;1;Avenida Beira Mar;;;;;;;;;;;;
IKY7546;1;Avenida Godofredo Maciel;;;;;;;;;;;;
MBO7805;1;Lima Campos;;;;;;;;;;;;
BBV8542;1;Carneiro De Mendonça;;;;;;;;;;;;
DHP9799;1;Da Paz;;;;;;;;;;;;
SCU0501;1;Rua Pedro Pereira;;;;;;;;;;;;
USA9673;1;Rua Rubia Sampaio;;;;;;;;;;;;
SUM6711;1;Tiradentes;;;;;;;;;;;;
YTK2307;1;Rua Doutor Jose Roberto Salesrua;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JHS8564;1;Avenida Francisco Sá;Bom estado;Bom estado;Reto;Plano;Não informado;Não informado;Múltipla;Asfalto;Não informado;Boa;Não informado;Pintura
DOH5839;1;Sulamita Portela - Esquina Cj. Omega 2;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
OWO9897;1;Rua Antero Quental;;;;;;;;;;;;
HJK2212;1;Rua Adolfo Moreira De Carvalho;;;;;;;;;;;;
IRU4072;1;Belem Figueredo;;;;;;;;;;;;
TGU2813;1;Porto Velho;;;;;;;;;;;;
ZVP3139;1;General Osorio De Paiva;;;;;;;;;;;;
AES0330;1;Borges De Melo C\ Rua Padre Araripe;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XKD7323;1;Desembargado Leite Albuquerque;;;;;;;;;;;;
XKD7323;2;Osvaldo Cruz 1286;;;;;;;;;;;;
OKP6315;1;Rua João Carvalho;Bom estado;Bom estado;Reto;Não informado;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Não há
OKP6315;2;AV BAR STUDART;Bom estado;Bom estado;Interseção;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Boa;Canteiro elevado
QEF0981;1;Rua Amelia Benebien;;;;;;;;;;;;
HRX7405;1;Dourado;;;;;;;;;;;;
VTR2847;1;Professor Otavio Lobo;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JSH2355;1;Professor Virgilio Brandao;;;;;;;;;;;;
SJR5896;1;Almirante Henrique Saboia [];Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UEA9894;1;Avenida Domingos Olimpio;;;;;;;;;;;;
NSB3614;1;Padre Antonio;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NSB3614;2;Desembargador Moreira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JOQ2323;1;I;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WOW0207;1;Bezerra De Menezes;;;;;;;;;;;;
HYT1695;1;Idelfonso Albano;;;;;;;;;;;;
KZL2203;1;Gomes De Matos;;;;;;;;;;;;
DIH7179;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JTH8066;1;BR 116 KM 9;;;;;;;;;;;;
YCB9085;1;Contorno;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
BVR8055;1;Rodrigues Junior;;;;;;;;;;;;
LXA4981;1;Avenida Beira Mar;;;;;;;;;;;;
WLY8139;1;Washington Soares;;;;;;;;;;;;
GPG9952;1;Contorno;;;;;;;;;;;;
FXE6503;1;Avenida Professor Gomes De Matos;;;;;;;;;;;;
EIG6130;1;Rio Grande Do Norte;;;;;;;;;;;;
EIG6130;2;Parana;;;;;;;;;;;;
QMA3776;1;Da Abolição  - Condo Cromos;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NLA5789;1;Doutor Joao Amora;;;;;;;;;;;;
QAR6632;1;Pedro Muniz;;;;;;;;;;;;
KHX9884;1;Avenida Presidente Castelo Branco;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Boa;Canteiro elevado
JJO4774;1;Miguel Gurgel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
GPF1092;1;Leste Oeste;;;;;;;;;;;;
BZV4062;1;Padre Pedro De Alencar;;;;;;;;;;;;
LXH4189;1;Osorio De Paiva;;;;;;;;;;;;
EOW1180;1;Borges De Melo;;;;;;;;;;;;
KTY2457;1;Avenida Doutor Silas Munguba;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Má;Canteiro elevado
PKP9579;1;Rua Julio Silva;;;;;;;;;;;;
BQU7577;1;Rua Jose Vilar 335;;;;;;;;;;;;
BQU7577;2;Deputado Moreira Rocha;;;;;;;;;;;;
PBV8266;1;Rua Doutor Hugo Rocha;;;;;;;;;;;;
LZS8940;1;Bernardo Manuel;;;;;;;;;;;;
HWY3105;1;Arruda Camara;;;;;;;;;;;;
QEN0943;1;Luiz Vieira;;;;;;;;;;;;
MJH5821;1;Avenida Sargento Hermínio Sampaio;Bom estado;Bom estado;Reto;Plano;Não há;Sinalizada;Dupla;Asfalto;Duas;Boa;Boa;Pintura
MJH5821;2;AV JOSE JATAHY;Bom estado;Bom estado;Reto;Plano;Não há;Sinalizada;Dupla;Asfalto;Duas;Boa;Boa;Pintura
ZBE9740;1;Avenida Senador Carlos Jereissati;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SNA0144;1;Rua 856;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
KDY9103;1;CE 10;;;;;;;;;;;;
ERN3843;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
OEW0127;1;Marechal Bittencourt;;;;;;;;;;;;
TSP0773;1;Av. L;;;;;;;;;;;;
TSP0773;2;Terceira Etapa;;;;;;;;;;;;
NJI5293;1;Avenida Dioguinho - Bairro Praia Do Futuro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UQL7369;1;Avenida Santos Dumont;;;;;;;;;;;;
BYZ4708;1;Mister Hull;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NYK4161;1;Avenida Manuel Mavgnier;;;;;;;;;;;;
YHZ5198;1;Vitoria 1568;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
YHZ5198;2;Conde Do Rio Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AVR8265;1;Avenida Contorno;;;;;;;;;;;;
ZNK4119;1;Domingos Olimpios;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SNL6247;1;Rua Barbosa De Freitas;Bom estado;Bom estado;Reto;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Pintura
SNL6247;2;Rua Carolina Sucupira;Bom estado;Bom estado;Reto;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Pintura
XJM8830;1;408- Conj São Cristovão;;;;;;;;;;;;
YPU9668;1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZYP5782;1;Washington Soares;;;;;;;;;;;;
NDQ9918;1;Miguel Gonçalves;;;;;;;;;;;;
