COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
OPE4964;1;Bezzera De Menezes;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XGD1320;1;Tenente Wilson;;;;;;;;;;;;
XGD1320;2;Aspirante Mendes;;;;;;;;;;;;
INX2632;1;Bezerra De Meneses;;;;;;;;;;;;
JEJ1355;1;Sao Francisco - Conj Esperança 3;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
MKY2198;1;Sargento Herminio;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CJS4326;1;CE 040;;;;;;;;;;;;
AWI6557;1;Avenida Washington Soares;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JCZ9586;1;Maranhao;;;;;;;;;;;;
JTO9690;1;Beira Mar;;;;;;;;;;;;
EMZ7512;1;101;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
FUA5797;1;Terminal Do Conjunto Ceará;;;;;;;;;;;;
RAC9873;1;860);Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
QPJ1466;1;RUA TIBURCIO FROTA;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Pintura
QPJ1466;2;RUA NUNES VALENTE;Bom estado;Bom estado;Reto;Rampa descendente;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Tachão/tartaruga
IXD9371;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UBY5677;1;Avenida Desembargador Gonzaga;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IBK5120;1;Raul Barborsa;;;;;;;;;;;;
LSS4737;1;Av.Godofredo Marciel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
LXN0882;1;Professor Jose Arthur De Carvalho;;;;;;;;;;;;
OCX9980;1;Bezerra De Meneses;;;;;;;;;;;;
OGT5827;1;RUA ESPIRITO SANTO;Não há;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Uma;Boa;Boa;Não há
OGT5827;2;RUA PARA;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Uma;Boa;Boa;Pintura
TTY4593;1;Para;;;;;;;;;;;;
TTY4593;2;Espirito Santo;;;;;;;;;;;;
SHG3000;1;Placido Castelo;;;;;;;;;;;;
GII8180;1;Miguel Gurgel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
EKF3762;1;Sao Leopoldo [ Santa Fe ];Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZHL8087;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HFI2220;1;Dom Lustosa;;;;;;;;;;;;
WKH8617;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SDR0638;1;Rua Muritiapua;;;;;;;;;;;;
JMW6660;1;Rua Conego De Castro;;;;;;;;;;;;
JMW6660;2;Cardoso De Barros;;;;;;;;;;;;
ACQ4637;1;Avenida Osorio De Paiva;;;;;;;;;;;;
VGX2025;1;Rua Professor Costa Mendes;Não há;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
VGX2025;2;Rua Edite Braga;Bom estado;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
ZBM3253;1;Julio Silva;;;;;;;;;;;;
VXO9284;1;Avenida Duque De Caxias;;;;;;;;;;;;
FRE9140;1;Aracati;;;;;;;;;;;;
QGZ1621;1;Presidente Costa E Silva;;;;;;;;;;;;
QGZ1621;2;Av. Godofredo Maciel;;;;;;;;;;;;
OGA3942;1;Miguel Gurgel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RNM7501;1;BR 116 KM 7;;;;;;;;;;;;
